seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	18081704	18081908	205	*	X0010	81569	18081808	18153558	71751	+	0	overlapStart	0	ACTL8
chr1	28559524	28559545	22	*	X0017	22826	28526790	28559542	32753	-	0	overlapStart	0	DNAJC8
chr1	28832458	28832689	232	*	X0018	1104	28832455	28865708	33254	+	0	inside	2	RCC1
chr1	28832458	28832689	232	*	X0018	8420	28832455	28837404	4950	+	0	inside	2	SNHG3
chr1	28907975	28908061	87	*	X0020	677825	28906893	28907024	132	-	950	upstream	950	SNORA44
chr1	28907975	28908061	87	*	X0020	677838	28906276	28906405	130	-	1569	upstream	1569	SNORA61
chr1	28907975	28908061	87	*	X0020	692073	28907432	28907565	134	-	409	upstream	409	SNORA16A
chr1	36107053	36107188	136	*	X0036	5690	36035413	36107445	72033	-	0	inside	256	PSMB2
chr1	38455640	38455929	290	*	X0037	10946	38422652	38455761	33110	-	0	overlapStart	0	SF3A3
chr1	43996372	43996465	94	*	X0044	5792	43996547	44089343	92797	+	81	upstream	81	PTPRF
chr1	45241516	45241573	58	*	X0045	26811	45241537	45241610	74	+	0	overlapStart	0	SNORD55
chr1	45241516	45241573	58	*	X0045	6202	45241246	45244412	3167	+	0	inside	269	RPS8
chr1	45241516	45241573	58	*	X0045	94161	45242164	45242261	98	+	590	upstream	590	SNORD46
chr1	45241516	45241573	58	*	X0045	94162	45243514	45243584	71	+	1940	upstream	1940	SNORD38A
chr1	45452137	45452371	235	*	X0046	8891	45316194	45452394	136201	-	0	inside	22	EIF2B3
chr1	46049721	46049919	199	*	X0051	4678	46049660	46084578	34919	+	0	inside	60	NASP
chr1	67895959	67896148	190	*	X0055	26135	67873493	67896123	22631	-	0	overlapStart	0	SERBP1
chr1	76251949	76252092	144	*	X0056	26805	76253574	76253657	84	+	1481	upstream	1481	SNORD45A
chr1	76251949	76252092	144	*	X0056	5876	76251879	76260775	8897	+	0	inside	69	RABGGTB
chr1	76251949	76252092	144	*	X0056	692085	76252757	76252834	78	+	664	upstream	664	SNORD45C
chr1	84944927	84944960	34	*	X0059	80135	84944920	84964033	19114	+	0	inside	6	RPF1
chr1	84944980	84945035	56	*	X0060	80135	84944920	84964033	19114	+	0	inside	59	RPF1
chr1	93297572	93297960	389	*	X0066	6125	93297594	93307481	9888	+	0	overlapStart	0	RPL5
chr1	101361673	101361751	79	*	X0068	148867	101361632	101447311	85680	+	0	inside	40	SLC30A7
chr1	101361673	101361751	79	*	X0068	2135	101337928	101360735	22808	-	937	upstream	937	EXTL2
